epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,2481.26,0.89758,0.66399,1.28222,0.96489,0.95489,0.98889,0.73698,0.91801,0.49171,1.302,0.000812,0.000812,0.000812
62,2521.92,0.88321,0.64976,1.26731,0.95343,0.94855,0.98707,0.72679,0.92113,0.50224,1.32128,0.0007922,0.0007922,0.0007922
63,2562.31,0.8833,0.65075,1.27739,0.97519,0.94208,0.98518,0.7331,0.95328,0.52577,1.3343,0.0007724,0.0007724,0.0007724
64,2602.93,0.87945,0.64435,1.27324,0.94754,0.93822,0.98673,0.73144,0.93693,0.48255,1.32233,0.0007526,0.0007526,0.0007526
65,2643.47,0.88205,0.65749,1.26833,0.94547,0.93718,0.97347,0.70763,1.00997,0.55747,1.41664,0.0007328,0.0007328,0.0007328
66,2683.85,0.87369,0.62866,1.26101,0.94637,0.95381,0.98641,0.73217,0.91929,0.48252,1.30397,0.000713,0.000713,0.000713
67,2724.35,0.87691,0.64396,1.27135,0.97831,0.94595,0.98952,0.73491,0.95763,0.49669,1.3353,0.0006932,0.0006932,0.0006932
68,2764.99,0.85969,0.63258,1.25878,0.96099,0.95105,0.9887,0.73542,0.91166,0.47862,1.30158,0.0006734,0.0006734,0.0006734
69,2805.39,0.87405,0.63268,1.26267,0.97989,0.94065,0.9875,0.73148,0.95538,0.5114,1.33909,0.0006536,0.0006536,0.0006536
70,2845.91,0.86978,0.63296,1.26168,0.96854,0.9509,0.97543,0.71018,1.02436,0.51126,1.40702,0.0006338,0.0006338,0.0006338
71,2886.5,0.86398,0.62457,1.25682,0.95357,0.95158,0.98614,0.72628,0.90215,0.47123,1.30712,0.000614,0.000614,0.000614
72,2926.93,0.85802,0.6332,1.25725,0.96453,0.94481,0.98299,0.73407,0.95953,0.50868,1.33491,0.0005942,0.0005942,0.0005942
73,2967.5,0.88414,0.64664,1.2711,0.98005,0.94849,0.98849,0.73836,0.92988,0.4746,1.31197,0.0005744,0.0005744,0.0005744
74,3008.06,0.85981,0.61896,1.26057,0.94861,0.94208,0.97199,0.70709,1.02843,0.5681,1.41333,0.0005546,0.0005546,0.0005546
75,3048.47,0.86685,0.63378,1.25209,0.96483,0.95333,0.98797,0.73182,0.92344,0.47565,1.31776,0.0005348,0.0005348,0.0005348
76,3089,0.8564,0.60959,1.24932,0.96473,0.95042,0.98703,0.73836,0.90692,0.48478,1.30434,0.000515,0.000515,0.000515
77,3129.65,0.83182,0.60235,1.23755,0.99183,0.93749,0.98813,0.74164,0.9228,0.47613,1.30145,0.0004952,0.0004952,0.0004952
78,3170.08,0.85208,0.61632,1.2521,0.9722,0.96139,0.98743,0.74262,0.89407,0.47521,1.28023,0.0004754,0.0004754,0.0004754
